,Ticker,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
57,Bank of Sharjah,1.10,0.00%,"24,030.00","22,000",1.09,1.10,1.09,2018-04-19 10:00:00
58,United Insurance,2.00,0.00%,"10,000.00","5,000",2.00,2.00,2.00,2014-04-09 07:54:30
59,Al Khazna Insurance,0.23,0.00%,"26,450.00","115,000",0.23,0.23,0.23,2018-04-19 08:31:48
60,Al Dhafra,3.85,0.00%,"21,182.70","5,502",3.85,3.85,3.85,2018-04-19 07:08:59
61,National Marine Dred,3.30,0.00%,"573,629.10","173,827",3.30,3.30,3.30,2018-04-18 07:32:29
62,NCT&H,2.05,0.00%,"61,500.00","30,000",2.05,2.05,2.05,2018-04-19 06:38:51
63,Union Cement,1.85,0.00%,"1,285.75",695,1.85,1.85,1.85,2018-03-21 08:14:15
64,RAKBANK,4.40,0.00%,"5,930,421.20","1,347,823",4.40,4.40,4.40,2018-04-18 07:52:13
65,Dana Gas,0.96,0.00%,"8,812,063.69","9,141,281",0.95,0.99,0.95,2018-04-19 10:00:00
66,Al Buhaira National,2.20,0.00%,"551,900.00","251,000",2.19,2.20,2.19,2018-02-14 06:54:20
67,RAK Cement,0.70,0.00%,"244,528.90","349,327",0.70,0.70,0.70,2018-04-19 08:44:04
68,Arkan,0.62,0.00%,"582,121.58","954,278",0.61,0.62,0.61,2018-04-19 10:00:00
69,Oman & Emirates Inve,0.50,0.00%,143.00,286,0.50,0.50,0.50,2018-04-19 10:00:00
70,Al Fujairah National,300.00,0.00%,"6,000.00",20,300.00,300.00,300.00,2014-11-23 10:00:00
71,Methaq,0.80,0.00%,"39,010.32","51,326",0.76,0.80,0.76,2018-04-19 10:00:00
72,GMPC,1.90,0.00%,"3,800.00","2,000",1.90,1.90,1.90,2018-04-17 06:00:00
73,Julphar,2.35,0.00%,"8,109.85","3,451",2.35,2.35,2.35,2018-04-18 06:00:00
74,Manazel,0.55,0.00%,"723,235.30","1,322,246",0.55,0.55,0.54,2018-04-19 09:35:52
75,Sharjah Group,1.15,0.00%,"22,793.00","19,820",1.15,1.15,1.15,2018-04-15 06:37:41
76,Al Qudra,1.15,0.00%,"92,000.00","80,000",1.15,1.15,1.15,2018-04-19 09:41:47
77,Dar Al Takaful,0.67,-0.15%,"5,754.40","8,644",0.66,0.67,0.66,2018-04-19 09:55:00
78,DU,4.93,-0.20%,"1,229,495.11","249,723",4.95,4.95,4.90,2018-04-19 09:55:25
79,Amlak Finance,0.82,-0.24%,"165,714.59","203,076",0.81,0.82,0.81,2018-04-19 09:55:00
80,RAK Insurance,3.68,-0.27%,"7,065.60","1,920",3.68,3.68,3.68,2018-02-20 06:09:36
