,Ticker,Name,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
51,RAKCEC,RAK Ceramics,2.48,0.00%,"47,430.00","19,125",2.48,2.48,2.48,2018-04-22 08:53:44
52,NCTH,NCT&H,2.05,0.00%,"9,840.00","4,800",2.05,2.05,2.05,2018-04-22 09:40:30
53,UCC,Union Cement,1.85,0.00%,"1,285.75",695,1.85,1.85,1.85,2018-03-21 08:14:15
54,ADAVIATION,ADA,2.95,0.00%,"44,250.00","15,000",2.95,2.95,2.95,2018-04-22 07:45:00
55,ADIB,ADIB,3.88,0.00%,"2,236,064.24","576,384",3.86,3.93,3.86,2018-04-22 09:14:48
56,NBS,Sharjah Islamic Bank,1.24,0.00%,"217,799.41","175,000",1.24,1.25,1.24,2018-04-22 09:11:44
57,RAKBANK,RAKBANK,4.40,0.00%,"4,287,848.50","1,040,000",4.35,4.40,4.10,2018-04-22 06:17:29
58,ABNIC,Al Buhaira National,2.20,0.00%,"551,900.00","251,000",2.19,2.20,2.19,2018-02-14 06:54:20
59,RAKCC,RAK Cement,0.70,0.00%,"244,528.90","349,327",0.70,0.70,0.70,2018-04-19 08:44:04
60,OEIHC,Oman & Emirates Inve,0.50,0.00%,143.00,286,0.50,0.50,0.50,2018-04-19 10:00:00
61,AFNIC,Al Fujairah National,300.00,0.00%,"6,000.00",20,300.00,300.00,300.00,2014-11-23 10:00:00
62,METHAQ,Methaq,0.80,0.00%,"36,000.00","45,000",0.80,0.80,0.80,2018-04-22 09:32:16
63,GMPC,GMPC,1.90,0.00%,"3,800.00","2,000",1.90,1.90,1.90,2018-04-17 06:00:00
64,JULPHAR,Julphar,2.35,0.00%,"8,109.85","3,451",2.35,2.35,2.35,2018-04-18 06:00:00
65,ESHRAQ,Eshraq,0.72,0.00%,"2,239,100.00","3,110,000",0.72,0.72,0.71,2018-04-22 06:31:40
66,SG,Sharjah Group,1.15,0.00%,"22,793.00","19,820",1.15,1.15,1.15,2018-04-15 06:37:41
67,ALQUDRA,Al Qudra,1.15,0.00%,"92,000.00","80,000",1.15,1.15,1.15,2018-04-19 09:41:47
