,Ticker,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
165,Gemma,9.94,-0.31%,"1,392,283.63","142,871",9.78,10.00,9.62,2018-04-19 12:29:55
166,United Co for Housin,5.85,-0.34%,"879,806.06","150,318",5.87,5.90,5.84,2018-04-19 12:29:45
167,Mohandes Insurance,11.50,-0.35%,"101,050.00","9,000",11.27,11.50,11.00,2018-04-19 12:26:36
168,Sheeni,5.57,-0.36%,"458,008.09","82,312",5.58,5.62,5.55,2018-04-19 12:27:54
169,Development & Engine,26.67,-0.37%,"3,762,675.50","139,372",27.10,27.46,26.66,2018-04-19 12:29:33
170,Alexandria Pharmaceu,160.00,-0.43%,"530,254.50","3,324",160.21,160.50,159.00,2018-04-19 11:53:45
171,AMOC,11.00,-0.46%,"12,719,646.00","1,173,380",10.89,11.00,10.70,2018-04-19 12:29:48
172,KABO,2.10,-0.47%,"1,275,329.88","608,604",2.11,2.13,2.07,2018-04-19 12:29:47
173,Egytrans,12.40,-0.48%,"2,620,894.25","210,465",12.51,12.54,12.39,2018-04-19 12:29:50
174,Egyptian Starch & Gl,15.59,-0.51%,"449,163.69","28,739",15.71,15.90,15.50,2018-04-19 12:29:44
175,Egyptian Iron & Stee,7.54,-0.53%,"7,539,855.00","997,247",7.60,7.67,7.50,2018-04-19 12:29:57
176,Oriental Weavers,16.17,-0.56%,"57,342,764.00","3,581,778",16.10,16.25,16.00,2018-04-19 12:29:59
177,South Valley Cement,5.00,-0.60%,"3,365,627.25","673,258",5.03,5.05,4.97,2018-04-19 12:29:39
178,BPE Holding,11.42,-0.61%,"1,370,793.00","120,129",11.03,11.50,11.03,2018-04-19 12:27:24
179,Unipack,30.10,-0.63%,"324,607.63","10,799",30.25,30.89,29.52,2018-04-19 12:23:55
180,Al Baraka Bank,15.20,-0.64%,"2,013,270.63","130,180",15.57,15.50,15.20,2018-04-19 12:20:57
181,Rakta,7.45,-0.66%,"486,290.88","64,764",7.56,7.69,7.45,2018-04-19 12:28:56
182,Ajwa,2.91,-0.68%,"973,532.31","335,328",2.92,2.94,2.89,2018-04-19 12:29:16
183,AT Lease,7.30,-0.68%,"695,835.38","95,048",7.37,7.65,7.20,2018-04-19 12:29:43
184,Faisal Islamic Bank,18.50,-0.80%,"1,949,550.25","105,026",18.71,19.00,18.30,2018-04-19 12:28:02
185,Nile Pharmaceuticals,16.50,-0.83%,"121,950.28","7,335",16.77,17.26,16.50,2018-04-19 12:17:50
186,Ismailia Misr Poultr,3.50,-0.83%,"204,417.84","57,000",3.62,3.73,3.50,2018-04-19 12:16:50
187,Remas,3.43,-0.86%,"3,795,965.25","1,101,110",3.48,3.53,3.41,2018-04-19 12:29:36
188,Marsa Marsa Alam,1.15,-0.86%,"300,211.41","260,502",1.16,1.18,1.14,2018-04-19 12:28:01
