,Ticker,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
244,Egyptians for Real E,9.50,-5.56%,"37,814.15","4,450",9.00,9.50,8.17,2018-04-19 11:45:38
245,Middle & West Delta,151.05,-6.28%,"4,531.50",30,161.18,151.05,151.05,2018-04-18 12:14:08
246,Pioneers Holding,9.12,-6.62%,"101,212,768.00","11,043,043",9.23,9.45,8.91,2018-04-19 12:29:56
247,GAIC,0.17,-15.00%,"2,829.95","15,280",0.20,0.19,0.17,2018-04-16 10:25:34
248,Assiut Islamic Tradi,5.90,-100.00%,"5,900.00","1,000",5.90,5.90,5.90,2018-04-18 09:33:42
249,Suez Cement,24.00,-100.00%,"2,400.00",100,25.96,24.00,24.00,2018-04-18 08:34:41
250,Glaxo SmithKline,21.25,-100.00%,"10,200.00",480,21.48,21.25,21.25,2018-04-18 11:13:29
251,South Cairo & Giza F,32.00,-100.00%,"12,915.30",410,33.91,32.00,31.01,2018-04-18 11:54:28
252,Wadi Kom Ombo,8.80,-100.00%,"16,440.00","2,050",8.52,8.80,8.00,2018-04-18 12:27:58
253,El Orouba Securities,0.69,-100.00%,"8,480.73","12,375",0.68,0.70,0.67,2018-04-18 11:49:24
254,Alexandria National,3.86,-100.00%,"3,865.00","1,000",3.99,3.87,3.86,2018-04-18 12:05:03
255,Bitumode,0.81,-100.00%,"12,841.92","15,632",0.84,0.84,0.81,2018-04-18 12:28:33
256,Meatello,0.86,-100.00%,430.00,500,0.90,0.86,0.86,2018-03-25 08:23:40
257,Ferchem,5.10,-100.00%,"4,080.00",800,5.10,5.10,5.10,2018-03-27 11:16:44
258,Brothers Solidarity,1.42,-100.00%,362.10,255,1.49,1.42,1.42,2018-04-16 10:36:36
259,DIFCO2,1.46,-100.00%,"26,061.00","17,850",1.53,1.46,1.46,2018-04-18 08:48:03
260,Egysacom,0.21,-100.00%,"7,959.00","37,900",0.22,0.21,0.21,2018-04-18 11:26:52
