,Ticker,Name,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
0,FSCI,FSPI,0.17,21.53%,"4,375.00","25,000",0.17,0.17,0.17,2018-01-02 08:59:47
1,HECI,AHEC,0.05,11.36%,"1,460.00","30,000",0.05,0.05,0.05,2018-04-10 08:59:55
2,RSBA,Renaissance,0.13,10.17%,"2,166.84","16,668",0.13,0.13,0.13,2016-06-20 06:26:57
3,NPMI,NPI,0.12,9.43%,595.66,"5,135",0.12,0.12,0.12,2018-04-15 00:00:00
4,DICS,Dhofar Insurance,0.09,8.97%,433.50,"5,100",0.09,0.09,0.09,2018-04-22 09:10:22
5,KPCS,Al Kamil Power,0.38,4.44%,"3,186.22","8,474",0.38,0.38,0.38,2018-04-08 08:41:07
6,AINS,Al Ahlia Insurance,0.36,2.27%,"15,825.94","44,174",0.36,0.36,0.36,2018-04-15 00:00:00
7,BKSB,Bank Sohar,0.15,2.00%,"18,100.85","118,051",0.15,0.15,0.15,2018-04-22 10:26:13
8,OFUB,Al Omaniya Financial,0.10,2.00%,"7,536.27","73,885",0.10,0.10,0.10,2012-07-29 06:38:33
9,AACT,Al Anwar Ceramic,0.12,1.72%,"175,241.27","1,490,090",0.12,0.12,0.12,2018-04-19 08:48:56
10,GS01,Ministry of Finance,1.00,1.21%,"5,000.00","5,000",1.00,1.00,1.00,2016-05-30 08:46:58
11,GECS,Galfar Engineering,0.10,1.02%,"2,329.76","23,620",0.10,0.10,0.10,2018-04-22 10:29:15
12,OMVS,Ominvest,0.37,0.83%,"114,708.01","314,247",0.37,0.37,0.36,2018-04-22 10:17:24
13,MCDE,MCDC,0.15,0.67%,"19,265.55","128,437",0.15,0.15,0.15,2018-04-18 07:23:50
14,BKMF,Bank Muscat,1.00,0.50%,"11,055.00","11,000",1.00,1.00,1.00,2014-04-30 07:56:26
15,MFCB,Muscat Finance,1.01,0.50%,"15,150.00","15,000",1.01,1.01,1.01,2016-10-19 07:09:46
16,OOMP,Omanoil,906.00,0.11%,"10,390,475.00","11,465",905.00,915.00,905.00,2007-07-11 00:00:00
17,SPCI,Sohar Poultry,0.21,0.00%,24.51,119,0.21,0.21,0.21,2011-05-30 09:03:32
18,OEFI,Euro Foods,0.10,0.00%,100.40,"1,004",0.10,0.10,0.10,2013-06-04 08:59:57
19,DMGI,Al Oula,0.10,0.00%,188.50,"1,885",0.10,0.10,0.10,2012-03-27 07:30:08
20,ABMI,Abrasives Manufactur,0.06,0.00%,60.00,"1,000",0.06,0.06,0.06,2012-05-22 09:00:13
21,OMCI,Oman Ceramics,0.42,0.00%,42.00,100,0.42,0.42,0.42,2017-11-19 07:30:06
22,OSCI,Sweets of Oman,1.21,0.00%,"2,424.84","2,004",1.21,1.21,1.21,2018-02-14 06:14:08
23,DPCI,Dhofar Poultry,0.18,0.00%,97.88,553,0.18,0.18,0.18,2017-08-28 08:41:24
24,SPFI,Asaffa,0.59,0.00%,"1,940.99","3,301",0.59,0.59,0.59,2018-04-17 06:58:23
25,NSCI,National Securities,0.04,0.00%,20.00,500,0.04,0.04,0.04,2018-01-02 07:30:07
26,GICI,GIC,0.21,0.00%,244.73,"1,188",0.21,0.21,0.21,2018-04-18 08:58:39
27,DTCS,Dhofar Tourism,1.00,0.00%,400.00,816,0.49,0.49,0.49,2014-04-30 07:27:17
28,NBII,NABIL Biscuit,3.75,0.00%,224.70,60,3.75,3.75,3.75,2018-04-17 07:54:20
29,PCLI,Packaging,2.21,0.00%,556.92,252,2.21,2.21,2.21,2018-03-13 08:21:57
30,OIMS,Oman International M,0.52,0.00%,"16,406.61","31,673",0.52,0.52,0.52,2013-01-01 08:59:53
31,HMCI,GHM,1.10,0.00%,"375,000.00","300,000",1.10,1.10,1.10,2011-07-11 06:45:28
32,OETI,Oman Education,0.17,0.00%,593.08,"3,389",0.17,0.17,0.17,2018-04-19 06:57:38
33,NRED,National Real Estate,0.00,0.00%,"15,650.00","3,130",5.00,5.00,5.00,2012-01-01 08:36:28
34,CSII,CSI,0.25,0.00%,250.00,"1,000",0.25,0.25,0.25,2016-05-31 07:49:21
35,SAHS,Sahara Hospitality,2.50,0.00%,15.00,6,2.50,2.50,2.50,2018-04-02 07:45:32
36,DBCI,Dhofar Beverages,0.26,0.00%,25.90,100,0.26,0.26,0.26,2017-07-12 08:14:41
37,BAHS,Al Batinah Hotels,1.12,0.00%,"36,358.88","32,319",1.12,1.12,1.12,2017-08-01 07:23:13
38,GHOS,Gulf Hotels,9.45,0.00%,945.00,100,9.45,9.45,9.45,2017-05-21 06:36:21
39,UBAR,Ubar Hotels,0.13,0.00%,129.00,"1,000",0.13,0.13,0.13,2017-10-11 08:40:51
40,GSCI,Gulf Stone,0.11,0.00%,550.00,"5,000",0.11,0.11,0.11,2018-04-03 08:03:42
41,SHCS,Salalah Beach Resort,1.38,0.00%,449.88,326,1.38,1.38,1.38,2016-06-28 07:01:14
42,SHPS,Sohar Power,0.12,0.00%,819.00,"7,000",0.12,0.12,0.12,2018-04-19 08:41:29
43,GMPI,GMPI,0.30,0.00%,"1,011.40","3,349",0.30,0.30,0.30,2017-12-10 07:30:40
44,NDTI,NDC,0.64,0.00%,"2,544.00","4,000",0.64,0.64,0.64,2018-02-21 06:14:01
45,OPCI,Omani Packaging,0.28,0.00%,805.92,"2,920",0.28,0.28,0.28,2018-02-25 08:27:51
46,MGCI,Majan Glass,0.18,0.00%,708.00,"4,000",0.18,0.18,0.18,2018-02-08 08:24:42
47,SFMI,Salalah Mills,1.25,0.00%,22.50,18,1.25,1.25,1.25,2018-04-05 07:39:28
48,UFCI,UFC,0.10,0.00%,377.48,"3,595",0.10,0.10,0.10,2018-04-18 08:27:47
49,NMWI,NMWC,0.10,0.00%,"1,349.80","13,498",0.10,0.10,0.10,2018-04-19 09:00:04
50,DBIH,Al Batinah Developme,0.10,0.00%,485.00,"5,000",0.10,0.10,0.10,2018-04-18 08:04:31
51,OCCI,Oman Chromite,3.63,0.00%,123.59,34,3.63,3.63,3.63,2017-09-19 07:59:54
52,FINC,FINCORP,0.09,0.00%,128.16,"1,440",0.09,0.09,0.09,2017-05-08 06:54:57
53,AOFS,Al Omaniya Financial,0.28,0.00%,386.40,"1,400",0.28,0.28,0.28,2017-09-18 07:52:59
54,UECS,UPC,3.69,0.00%,"1,660.50",450,3.69,3.69,3.69,2018-04-03 08:51:12
55,ONES,ONEIC,0.14,0.00%,0.43,3,0.14,0.14,0.14,2018-04-17 08:45:09
56,MGMC,Muscat Gases,0.41,0.00%,414.00,"1,000",0.41,0.41,0.41,2018-04-19 08:07:50
57,NGCI,National Gas,0.26,0.00%,"16,767.33","63,383",0.27,0.27,0.26,2018-04-19 08:52:54
58,MCTI,Muscat Insurance,0.80,0.00%,120.80,151,0.80,0.80,0.80,2018-04-02 07:45:17
59,OCAI,Oman Cables,0.89,0.00%,"22,300.00","25,000",0.89,0.89,0.89,2018-04-19 06:49:38
60,OCOI,Oman Cement,0.36,0.00%,"33,460.00","93,000",0.36,0.36,0.36,2018-04-18 08:56:17
61,NBOB,National Bank of Oma,0.19,0.00%,662.39,"3,481",0.19,0.19,0.19,2018-04-19 08:41:15
62,AAIT,Al Anwar Holdings,0.15,0.00%,"78,377.13","516,181",0.15,0.15,0.15,2018-04-19 08:59:55
63,OFMI,Oman Flour Mills,0.70,0.00%,"319,816.10","456,574",0.70,0.70,0.70,2018-04-17 08:34:35
64,ABOB,Ahli Bank,0.16,0.00%,"18,917.92","118,237",0.16,0.16,0.16,2018-04-22 09:59:55
65,HBMO,HSBC Oman,0.10,0.00%,"64,177.43","612,218",0.10,0.10,0.10,2018-04-19 08:57:31
66,SOMS,Shell Oman,1.69,0.00%,337.00,200,1.69,1.69,1.69,2018-04-22 09:00:00
67,UECP,UPC,1.00,0.00%,"1,090,635.00","1,090,635",1.00,1.00,1.00,2017-12-19 00:00:00
68,AJSP,Al Jazeira Services,0.55,0.00%,"3,797,016.40","6,903,666",0.55,0.55,0.55,2015-11-11 08:31:05
69,DFII,Dhofar Fisheries & F,0.00,0.00%,"2,732,033.25","2,518,003",1.08,1.08,1.08,2015-10-06 00:00:00
70,GISP,GIS,0.10,0.00%,"3,150.00","30,000",0.10,0.10,0.10,2016-10-16 06:44:16
71,DIDI,DIDIC,0.31,0.00%,"3,682.10","12,033",0.31,0.31,0.31,2018-04-05 06:06:10
72,GFIC,Global Financial Inv,0.10,0.00%,"1,189.12","11,325",0.10,0.10,0.10,2018-04-16 08:24:09
73,OIFC,OIFC,0.12,0.00%,"16,185.00","135,000",0.12,0.12,0.12,2018-04-19 08:48:24
74,NAPI,NAPCO,0.32,0.00%,"1,342.74","4,170",0.32,0.32,0.32,2018-04-18 08:56:22
75,DCFI,Dhofar Cattle Feed,0.19,0.00%,97.85,515,0.19,0.19,0.19,2017-08-30 08:46:48
76,ATMI,Jazeera Steel,0.33,0.00%,288.00,870,0.33,0.33,0.33,2018-04-19 08:34:58
77,BACS,Majan College,0.44,0.00%,"1,540.00","3,500",0.44,0.44,0.44,2018-04-17 08:22:23
78,OOMS,Omanoil,1.31,0.00%,262.00,200,1.31,1.31,1.31,2018-04-22 09:00:13
79,BMSB,Bank Muscat,1.05,0.00%,"105,000.00","100,000",1.05,1.05,1.05,2015-07-12 08:46:44
80,OFCB,Al Omaniya Financial,1.01,0.00%,"24,866.20","24,620",1.01,1.01,1.01,2011-05-04 06:48:31
81,ORDS,Ooredoo,0.50,0.00%,248.00,500,0.50,0.50,0.50,2018-04-22 09:57:44
82,ABSB,Ahli Bank,1.04,0.00%,"7,315.00","7,000",1.04,1.04,1.04,2016-10-26 08:15:06
83,BKIZ,Alizz Islamic Bank S,0.08,0.00%,"1,620.00","20,000",0.08,0.08,0.08,2018-04-15 00:00:00
84,OMUB,Al Omaniya Financial,0.10,0.00%,3.09,30,0.10,0.10,0.10,2015-01-18 08:44:29
85,SSPW,Sembcorp Salalah,0.22,0.00%,"149,439.30","673,150",0.22,0.22,0.22,2018-04-18 08:58:12
86,OCUB,Al Omaniya Financial,0.10,0.00%,834.30,"8,100",0.10,0.10,0.10,2015-08-18 07:30:03
87,MCCB,Bank Muscat,0.11,0.00%,"11,400.00","100,000",0.11,0.11,0.11,2017-03-12 06:29:25
88,SUWP,Al Suwadi Power,0.13,0.00%,469.00,"3,500",0.13,0.13,0.13,2018-04-22 06:00:09
89,BATP,Al Batinah Power,0.14,0.00%,"18,232.72","133,325",0.14,0.14,0.14,2018-04-17 08:39:47
90,AMCI,Al Maha Ceramics,0.25,0.00%,500.00,"2,000",0.25,0.25,0.25,2018-04-19 06:14:42
91,OSCB,Al Omaniya Financial,0.10,0.00%,647.00,"6,470",0.10,0.10,0.10,2015-08-18 08:02:03
92,BMCC,Bank Muscat,0.10,0.00%,665.08,"6,395",0.10,0.10,0.10,2017-06-22 07:17:54
93,PHPC,Phoenix Power,0.14,0.00%,"16,753.32","122,287",0.14,0.14,0.14,2018-04-18 08:01:29
94,RBAB,Renaissance,0.14,0.00%,429.14,"3,001",0.14,0.14,0.14,2015-08-18 00:00:00
95,VISN,Vision Insurance,0.14,0.00%,"23,194.75","157,700",0.15,0.15,0.14,2018-04-16 06:38:55
96,NLIF,National Life and Ge,0.34,0.00%,"10,260.00","30,000",0.34,0.34,0.34,2018-04-22 09:57:14
97,BKMB,Bank Muscat,0.38,-0.52%,"628,905.97","1,653,061",0.38,0.38,0.38,2018-04-22 10:24:25
98,BKDB,Bank Dhofar,0.19,-0.53%,"1,254.71","6,674",0.19,0.19,0.19,2018-04-19 08:48:53
99,APBS,ACWA,0.74,-0.53%,"13,419.53","18,037",0.74,0.74,0.74,2018-04-17 06:12:40
100,RCCI,Raysut Cement,0.72,-0.55%,"4,246.26","5,865",0.72,0.72,0.72,2018-04-17 06:17:48
101,OUIS,OUIC,0.33,-0.61%,"2,282.00","7,000",0.33,0.33,0.33,2018-04-18 08:51:02
102,NFCI,National Finance,0.13,-0.75%,"14,426.14","108,169",0.13,0.13,0.13,2018-04-19 08:54:46
103,OFBB,Al Omaniya Financial,0.10,-1.00%,43.56,440,0.10,0.10,0.10,2017-03-02 06:38:53
104,RNSS,Renaissance,0.39,-1.03%,"2,886.12","7,477",0.39,0.39,0.39,2018-04-22 10:25:34
