0,1,2,3,4,5,6,7,8,9
TALEEM REIT,,10.50,"6,600",-0.09,-0.85,130,"168,246",10.48,"2,140"
MUSHARAKA REIT,,8.68,"5,500",0.02,0.23,92,"107,824",8.62,"1,000"
MASHAAR REIT,,8.04,"4,424",-0.01,-0.12,79,"78,336",8.03,761
DERAYAH REIT,,8.09,"8,451",0.00,0.00,221,"329,411",8.09,"4,377"
JADWA REIT SAUDI,,9.75,"5,000",-0.01,-0.10,83,"48,501",9.73,"13,728"
SRECO,,22.82,837,-0.15,-0.65,194,"185,090",22.82,74
MCDC,,74.90,613,0.32,0.43,269,"111,450",74.80,"1,802"
Emaar EC,,13.48,"5,000",-0.10,-0.74,585,"1,329,957",13.46,"17,614"
Jabal Omar,,47.00,500,-0.30,-0.63,"1,024","943,176",46.95,417
KEC,,12.50,"1,307",-0.01,-0.08,322,"535,237",12.48,"25,945"
Taiba,,31.55,557,0.22,0.70,161,"129,839",31.50,"3,328"
ARDCO,,19.12,"1,390",-0.20,-1.04,456,"345,805",19.10,286
RED SEA,,19.26,"1,500",0.11,0.57,590,"454,210",19.26,"1,551"
Dar Al Arkan,,13.78,"4,500",0.09,0.66,"3,641","15,669,853",13.78,"84,197"
ALANDALUS,,23.40,767,0.11,0.47,512,"598,265",23.40,"5,500"
